trial_num,mouse_id,genotype,protocol,session,tone_freq,corr_choice,response,performance,rew_t,rule,expert,countdown,rew_prob,rew_l,rew_r,L_Bias_Intervals,N_Bias_Intervals,R_Bias_Intervals
0,6242,WT,rev_prob,2022-02-28,10000,L,N,False,False,True,False,,0.9,False,False,False,False,False
1,6242,WT,rev_prob,2022-02-28,10000,L,R,False,False,True,False,,0.9,False,False,False,False,False
2,6242,WT,rev_prob,2022-02-28,10000,L,L,True,True,True,False,,0.9,True,False,False,False,False
3,6242,WT,rev_prob,2022-02-28,6000,R,N,False,False,True,False,,0.9,False,False,False,False,False
4,6242,WT,rev_prob,2022-02-28,6000,R,L,False,False,True,False,,0.9,False,False,False,False,False
5,6242,WT,rev_prob,2022-02-28,10000,L,N,False,False,True,False,,0.9,False,False,False,False,False
6,6242,WT,rev_prob,2022-02-28,6000,R,L,False,False,True,False,,0.9,False,False,False,False,False
7,6242,WT,rev_prob,2022-02-28,10000,L,L,True,True,True,False,,0.9,True,False,False,False,False
8,6242,WT,rev_prob,2022-02-28,10000,L,L,True,True,True,False,,0.9,True,False,False,False,False
9,6242,WT,rev_prob,2022-02-28,10000,L,L,True,True,True,False,,0.9,True,False,False,False,False
10,6242,WT,rev_prob,2022-02-28,10000,L,L,True,True,True,False,,0.9,True,False,False,False,False
11,6242,WT,rev_prob,2022-02-28,10000,L,L,True,True,True,False,,0.9,True,False,False,False,False
12,6242,WT,rev_prob,2022-02-28,10000,L,R,False,False,True,False,,0.9,False,False,False,False,False
13,6242,WT,rev_prob,2022-02-28,6000,R,L,False,False,True,False,,0.9,False,False,False,False,False
14,6242,WT,rev_prob,2022-02-28,6000,R,N,False,False,True,False,,0.9,False,False,False,False,False
15,6242,WT,rev_prob,2022-02-28,6000,R,N,False,False,True,False,,0.9,False,False,False,False,False
16,6242,WT,rev_prob,2022-02-28,6000,R,N,False,False,True,False,,0.9,False,False,False,False,False
17,6242,WT,rev_prob,2022-02-28,6000,R,N,False,False,True,False,,0.9,False,False,False,False,False
18,6242,WT,rev_prob,2022-02-28,6000,R,L,False,True,True,False,,0.9,True,False,False,False,False
19,6242,WT,rev_prob,2022-02-28,10000,L,L,True,True,True,False,,0.9,True,False,False,False,False
20,6242,WT,rev_prob,2022-02-28,6000,R,N,False,False,True,False,,0.9,False,False,False,False,False
21,6242,WT,rev_prob,2022-02-28,6000,R,L,False,False,True,False,,0.9,False,False,False,False,False
22,6242,WT,rev_prob,2022-02-28,10000,L,N,False,False,True,False,,0.9,False,False,False,False,False
23,6242,WT,rev_prob,2022-02-28,6000,R,N,False,False,True,False,,0.9,False,False,False,False,False
