trial_num,mouse_id,genotype,protocol,session,tone_freq,corr_choice,response,performance,rew_t,rule,expert,countdown,rew_prob,rew_l,rew_r,L_Bias_Intervals,N_Bias_Intervals,R_Bias_Intervals
0,6244,16p11.2,rev_prob,2022-03-02,10000,L,L,True,True,True,False,,0.9,True,False,False,False,False
1,6244,16p11.2,rev_prob,2022-03-02,10000,L,L,True,True,True,False,,0.9,True,False,False,False,False
2,6244,16p11.2,rev_prob,2022-03-02,10000,L,N,False,False,True,False,,0.9,False,False,False,False,False
3,6244,16p11.2,rev_prob,2022-03-02,6000,R,L,False,True,True,False,,0.9,True,False,False,False,False
4,6244,16p11.2,rev_prob,2022-03-02,6000,R,L,False,False,True,False,,0.9,False,False,False,False,False
5,6244,16p11.2,rev_prob,2022-03-02,6000,R,L,False,True,True,False,,0.9,True,False,False,False,False
6,6244,16p11.2,rev_prob,2022-03-02,10000,L,N,False,False,True,False,,0.9,False,False,False,False,False
7,6244,16p11.2,rev_prob,2022-03-02,10000,L,N,False,False,True,False,,0.9,False,False,False,False,False
8,6244,16p11.2,rev_prob,2022-03-02,10000,L,N,False,False,True,False,,0.9,False,False,False,False,False
9,6244,16p11.2,rev_prob,2022-03-02,10000,L,N,False,False,True,False,,0.9,False,False,False,False,False
10,6244,16p11.2,rev_prob,2022-03-02,6000,R,L,False,False,True,False,,0.9,False,False,False,False,False
11,6244,16p11.2,rev_prob,2022-03-02,10000,L,L,True,True,True,False,,0.9,True,False,False,False,False
12,6244,16p11.2,rev_prob,2022-03-02,6000,R,L,False,False,True,False,,0.9,False,False,False,False,False
13,6244,16p11.2,rev_prob,2022-03-02,10000,L,L,True,True,True,False,,0.9,True,False,False,False,False
14,6244,16p11.2,rev_prob,2022-03-02,6000,R,N,False,False,True,False,,0.9,False,False,False,False,False
15,6244,16p11.2,rev_prob,2022-03-02,6000,R,L,False,False,True,False,,0.9,False,False,False,False,False
